date,feed,pair,id,timestamp,side,amount,price
2019-01-01 00:00:03.247,COINBASE,BTC-USD,57003012,2019-01-01T00:00:03.247000Z,ask,0.00215325,3691.87
2019-01-01 00:00:03.247,COINBASE,BTC-USD,57003013,2019-01-01T00:00:03.247000Z,ask,0.0015,3692.02
2019-01-01 00:00:03.247,COINBASE,BTC-USD,57003014,2019-01-01T00:00:03.247000Z,ask,0.01,3692.31
2019-01-01 00:00:03.247,COINBASE,BTC-USD,57003015,2019-01-01T00:00:03.247000Z,ask,0.01,3692.31
2019-01-01 00:00:03.247,COINBASE,BTC-USD,57003016,2019-01-01T00:00:03.247000Z,ask,0.03,3692.31
2019-01-01 00:00:03.247,COINBASE,BTC-USD,57003017,2019-01-01T00:00:03.247000Z,ask,0.01118931,3692.33
2019-01-01 00:00:05.267,COINBASE,BTC-USD,57003018,2019-01-01T00:00:05.267000Z,ask,0.01,3692.31
2019-01-01 00:00:05.267,COINBASE,BTC-USD,57003019,2019-01-01T00:00:05.267000Z,ask,0.02707147,3692.31
2019-01-01 00:00:05.645,COINBASE,BTC-USD,57003020,2019-01-01T00:00:05.645000Z,ask,0.0261652,3692.31
2019-01-01 00:00:06.445,COINBASE,BTC-USD,57003021,2019-01-01T00:00:06.445000Z,ask,0.00755476,3692.31
2019-01-01 00:00:09.874,COINBASE,BTC-USD,57003022,2019-01-01T00:00:09.874000Z,ask,0.08,3692.31
2019-01-01 00:00:09.874,COINBASE,BTC-USD,57003023,2019-01-01T00:00:09.874000Z,ask,0.05,3692.31
2019-01-01 00:00:09.874,COINBASE,BTC-USD,57003024,2019-01-01T00:00:09.874000Z,ask,0.00287856,3692.33
2019-01-01 00:00:13.231,COINBASE,BTC-USD,57003025,2019-01-01T00:00:13.231000Z,ask,0.00675055,3692.32
2019-01-01 00:00:15.830,COINBASE,BTC-USD,57003026,2019-01-01T00:00:15.830000Z,bid,0.00104536,3691.89
2019-01-01 00:00:16.429,COINBASE,BTC-USD,57003027,2019-01-01T00:00:16.429000Z,ask,0.01293838,3692.33
2019-01-01 00:00:19.365,COINBASE,BTC-USD,57003028,2019-01-01T00:00:19.365000Z,ask,0.02591364,3692.3
2019-01-01 00:00:27.952,COINBASE,BTC-USD,57003029,2019-01-01T00:00:27.952000Z,ask,0.02075301,3692.24
2019-01-01 00:00:28.253,COINBASE,BTC-USD,57003030,2019-01-01T00:00:28.253000Z,ask,0.00754828,3692.22
2019-01-01 00:00:28.262,COINBASE,BTC-USD,57003031,2019-01-01T00:00:28.262000Z,bid,0.05,3692.05
2019-01-01 00:00:28.262,COINBASE,BTC-USD,57003032,2019-01-01T00:00:28.262000Z,bid,0.08092097,3691.83
2019-01-01 00:00:29.993,COINBASE,BTC-USD,57003033,2019-01-01T00:00:29.993000Z,bid,0.59,3691.84
2019-01-01 00:00:29.993,COINBASE,BTC-USD,57003034,2019-01-01T00:00:29.993000Z,bid,0.02,3691.84
2019-01-01 00:00:29.993,COINBASE,BTC-USD,57003035,2019-01-01T00:00:29.993000Z,bid,0.67,3691.83
2019-01-01 00:00:31.490,COINBASE,BTC-USD,57003036,2019-01-01T00:00:31.490000Z,ask,0.07774355,3691.84
2019-01-01 00:00:33.337,COINBASE,BTC-USD,57003037,2019-01-01T00:00:33.337000Z,ask,0.02708119,3691.84
2019-01-01 00:00:34.756,COINBASE,BTC-USD,57003038,2019-01-01T00:00:34.756000Z,bid,0.52567743,3691.83
